:ID,name,description,:LABEL
disease1,厌食症,厌食症就是由于怕胖、心情低落而过分节食、拒食，造成体重下降、营养不良甚至拒绝维持最低体重的一种心理障碍性疾病。,Disease
disease2,神经性厌食症,神经性厌食症，又称为厌食症，是患者自己有意造成的体重明显下降至正常生理标准体重以下，并极力维持这种状态的一种心理生理障碍。,Disease
disease3,精神性厌食症,神经性厌食症，又称为厌食症，是患者自己有意造成的体重明显下降至正常生理标准体重以下，并极力维持这种状态的一种心理生理障碍。,Disease
disease4,高血压,高血压是指以体循环动脉血压增高为主要特征，可伴有心、脑、肾等器官的功能或器质性损害的临床综合征。高血压是最常见的慢性病，也是心脑血管病最主要的危险因素。,Disease
disease5,便秘,便秘 ，指因粪便会太硬或太干而排便不顺或难以排出的状况 。,Disease
disease6,贫血,贫血是指一定体积的血液内红细胞数量和血红蛋白含量低于正常范围，一般分为缺铁性贫血、巨细胞贫血、再生障碍性贫血和溶血性贫血四大类。,Disease
disease7,脱水,脱水是指人体由于病变，消耗大量水分，而不能即时补充，造成新陈代谢障碍的一种症状，严重时会造成虚脱甚至有生命危险，需要依靠输液补充体液 。,Disease
disease8,失眠,失眠是指患者对睡眠时间及睡眠质量不满足并影响日间社会功能的一种主观体验。,Disease
disease9,小儿厌食症,小儿厌食症是指小儿较长期食欲减退或食欲缺乏的症状。它是一种症状，并非一种独立的疾病。病症上属于消化功能紊乱，小儿时期很常见，主要的伴随症状有呕吐、食欲不振、腹泻、便秘、腹胀、腹痛和便血等。,Disease
disease10,青春期厌食症,主要为青春期少女由于怕胖而严格控制进食，本来就不是很胖的身体往往因为过分限制饭量而迅速消瘦下来，这时很容易发展为拒食、厌食、挑食或偏食。,Disease
disease11,小儿营养不良,小儿营养不良是指摄食不足或食物不能充分吸收利用，以致能量缺乏，不能维持正常代谢，迫使肌体消耗，出现体重减轻或不增，生长发育停滞，肌肉萎缩的病症，又称蛋白能量不足性营养不良，多见于3岁以下的幼儿。,Disease
disease12,营养不良,营养不良是一个描述健康状况的用语，由不适当或不足饮食所造成。,Disease
