:ID,name,:LABEL
department1,精神科,Department
department2,儿科,Department
department3,内科,Department
department4,产科,Department
department5,外科,Department
department6,消化内科,Department
department7,神经内科,Department
department8,心理咨询科,Department
department9,小儿消化科,Department
department10,遗传咨询科,Department
cause1,全身性疾病的影响,Cause
cause2,药物影响,Cause
cause3,微量元素缺乏及某些内分泌素不足,Cause
cause4,食物过敏,Cause
cause5,喂养不当,Cause
cause6,气候影响,Cause
cause7,运动量不足,Cause
cause8,睡眠不足,Cause
cause9,神经性厌食,Cause
cause10,家族遗传,Cause
cause11,家庭关系缺乏亲密度,Cause
cause12,社会观念影响,Cause
cause13,心理发育影响,Cause
cause14,个体易感素质影响,Cause
cause15,下丘脑功能异常,Cause
cause16,不良心理,Cause
cause17,先天脾胃不好,Cause
cause18,不良饮食习惯,Cause
check1,营养状况检查,Check
check2,体质指数,Check
check3,体重检查,Check
check4,营养评估,Check
check5,营养监测,Check
check6,消化系统检查,Check
check7,甲状腺功能检查,Check
check8,腹部B超,Check
check9,胸部CT,Check
check10,腹部CT,Check
check11,肝功能检查,Check
check12,肾功能检查,Check
check13,心肌酶谱,Check
check18,血生化检查,Check
check19,微量元素检测,Check
check20,超声检查,Check
check21,纤维胃镜检查,Check
check22,心电图,Check
check23,血常规,Check
check24,血液电解质检查,Check
check25,二维超声心动图,Check
check26,尿常规,Check
check27,便常规,Check
check28,雌激素,Check
check29,BMI指数,Check
check30,低密度脂蛋白胆固醇,Check
check31,血清低密度脂蛋白胆固醇,Check
check32,x线检查,Check
check33,脑电图,Check
check34,影像学检查,Check
check35,血清电解质检测,Check
check36,超声心动图,Check
check37,头部MRI,Check
check38,头部CT,Check
check39,胃镜,Check
crowd1,13～20岁之间的年轻女性,Crowd
crowd2,幼儿,Crowd
crowd3,无特定人群,Crowd
drug1,甘草锌胶囊,Drug
drug2,甘草锌颗粒,Drug
drug3,抗精神病药物,Drug
drug4,舒必利,Drug
drug5,氯丙嗪,Drug
drug6,抗抑郁剂,Drug
drug7,氯米帕明,Drug
drug8,健儿清解液,Drug
drug9,硫酸钾,Drug
drug10,口服胃酶合剂,Drug
drug11,干酵母片,Drug
drug12,胃动力药,Drug
drug13,吗丁啉,Drug
drug14,阿米替林,Drug
drug15,抗组织胺,Drug
drug16,抗5-羟色胺药,Drug
drug17,赛庚啶,Drug
drug18,食欲兴奋剂,Drug
drug19,助食剂,Drug
drug20,肥儿丸,Drug
drug21,理中丸,Drug
drug22,启脾丸,Drug
drug23,儿康宁糖浆,Drug
drug24,健儿散,Drug
drug25,山楂健脾丸,Drug
drug26,香砂六君丸,Drug
drug27,小儿增食丸,Drug
drug28,小儿化食丹,Drug
drug29,小儿消食至宝丹,Drug
drug30,保和丸,Drug
drug31,儿童开胃乐口服液,Drug
drug32,胃酶合剂,Drug
drug33,多酶片,Drug
drug34,乳酶生,Drug
drug35,助消化药,Drug
drug36,氯丙咪酸,Drug
drug37,多虑平,Drug
drug38,新稀宝牌锌硒宝片,Drug
drug39,氟西汀,Drug
drug40,帕罗西汀,Drug
drug41,安神补脑液,Drug
drug42,舒肝解郁胶囊,Drug
drug43,九味镇心颗粒,Drug
drug44,谷维素,Drug
drug45,复合维生素B片,Drug
drug46,大山楂颗粒,Drug
drug47,红芪口服液,Drug
drug48,乌鸡桂圆养血口服液,Drug
drug49,五味安神颗粒,Drug
drug50,槐杞黄颗粒,Drug
drug51,香茯益血口服液,Drug
drug52,归脾丸,Drug
drug53,舒肝和胃丸,Drug
drug54,五维他口服溶液,Drug
drug55,肥儿糖浆,Drug
drug56,薏芽健脾凝胶,Drug
drug57,儿宝颗粒,Drug
drug58,保儿安颗粒,Drug
drug59,醒脾养儿颗粒,Drug
drug60,小儿七星茶颗粒,Drug
drug61,葡萄糖酸锌颗粒,Drug
drug62,五维他口服溶液,Drug
drug63,龙牡壮骨颗粒,Drug
drug64,赖氨葡锌颗粒,Drug
drug65,羔羊胃提取物维B12颗粒,Drug
drug66,五维牛磺酸口服溶液,Drug
drug67,大黄碳酸氢钠片,Drug
drug68,山麦健脾口服液,Drug
drug69,肠内营养乳剂,Drug
drug70,厌食康颗粒,Drug
drug71,枳术宽中胶囊,Drug
drug72,复方太子参颗粒,Drug
drug73,开胃消食口服液,Drug
drug74,十味益脾颗粒,Drug
drug75,稚儿灵膏滋,Drug
drug76,金朴消积颗粒,Drug
food1,薏苡仁,Food
food2,山药,Food
food3,山楂,Food
food4,砂仁,Food
food5,白术,Food
food6,白蔻,Food
food7,黄芪,Food
food8,党参,Food
food9,水果,Food
food10,蔬菜,Food
food11,鸡心,Food
food12,鸡肝,Food
food13,腰果,Food
food14,莲子,Food
food15,鸡蛋,Food
food16,青豆,Food
food17,黑豆,Food
food18,豆腐干,Food
food19,鱼腥草,Food
food20,洋葱,Food
food21,香菜,Food
food22,茼蒿,Food
food23,咸鸭蛋,Food
food24,松子(炒),Food
food25,南瓜子仁,Food
food26,啤酒,Food
food27,白酒,Food
food28,绿豆,Food
food29,赤小豆,Food
food30,白扁豆,Food
food31,山药鱼片汤,Food
food32,茯苓,Food
food33,鱼肉,Food
food34,豆腐,Food
food35,海带,Food
food36,山楂麦芽馀,Food
food37,生山楂,Food
food38,炒麦芽,Food
food39,山金胡萝卜汤,Food
food40,内金,Food
food41,胡萝卜,Food
food42,红糖,Food
food43,花生,Food
food44,玉米,Food
food45,零食,Food
food46,小麻椒,Food
food47,辣椒,Food
food48,牛奶,Food
food49,酸奶,Food
food50,西红柿,Food
food51,竹笋,Food
food52,糯米饭,Food
food53,槟榔粥,Food
food54,槟榔,Food
food55,粳米,Food
food56,白术猪肚粥,Food
food57,生姜,Food
food58,猪肚,Food
food59,橘皮鲫鱼汤,Food
food60,鲫鱼,Food
food61,橘皮,Food
food62,胡椒,Food
food63,葱,Food
food64,八仙糕,Food
food65,芡实,Food
food66,糯米粉,Food
food67,麻油,Food
food68,白糖,Food
part1,女性生殖,Part
part2,全身,Part
part3,血液血管,Part
part4,精神,Part
part5,胃,Part
part6,肠,Part
part7,胸部,Part
part8,腹部,Part
symptom1,惧怕体重增加,Symptom
symptom2,营养不良,Symptom
symptom3,围绕减少体重进行各种活动,Symptom
symptom4,故意节制食量,Symptom
symptom5,轻度肥胖,Symptom
symptom6,部分躯体过胖,Symptom
symptom7,水肿,Symptom
symptom8,强迫性症状,Symptom
symptom9,体重减轻,Symptom
symptom10,性功能及性发育障碍,Symptom
symptom11,呕吐,Symptom
symptom12,食欲不振,Symptom
symptom13,腹泻,Symptom
symptom14,便秘,Symptom
symptom15,腹胀,Symptom
symptom16,腹痛,Symptom
symptom17,便血,Symptom
symptom18,消瘦,Symptom
symptom19,毛发细疏,Symptom
symptom20,体重明显下降,Symptom
symptom21,体内缺乏脂肪,Symptom
symptom22,体内激素水平异常,Symptom
symptom23,心脏功能下降,Symptom
symptom24,月经减少或停止,Symptom
symptom25,抑郁情绪,Symptom
symptom26,性格改变,Symptom
symptom27,皮肤粗糙干裂,Symptom
symptom28,柔毛出现,Symptom
symptom29,体温下降,Symptom
symptom30,心跳缓慢,Symptom
symptom31,身体衰弱,Symptom
symptom32,脱水,Symptom
symptom33,脸色苍白,Symptom
symptom34,身凉,Symptom
symptom35,畏冷,Symptom
symptom36,低血压,Symptom
symptom37,性欲缺乏,Symptom
symptom38,体毛过多,Symptom
cure1,神经性厌食症西药治疗,Cure
cure2,住院治疗,Cure
cure3,全身治疗,Cure
cure4,药物治疗,Cure
cure5,心理治疗,Cure
cure6,行为治疗,Cure
cure7,认知治疗,Cure
cure8,心理动力学心理治疗,Cure
cure9,家庭治疗,Cure
cure10,神经性厌食症中医治疗,Cure
cure11,小儿厌食症西医治疗,Cure
cure12,小儿厌食症中医治疗,Cure
cure13,传统疗法,Cure
cure14,针灸疗法,Cure
cure15,捏脊疗法,Cure
cure16,青春期厌食症西医治疗,Cure
cure17,青春期厌食症中医治疗,Cure
cure18,手术治疗,Cure
cure19,西药治疗,Cure
cure20,精神治疗,Cure
cure21,心理治疗,Cure
cure22,行为治疗,Cure
cure23,补锌治疗,Cure
cure24,推拿疗法,Cure
prevention1,情绪预防,Prevention
prevention2,劳逸结合,Prevention
prevention3,进行正确人体美的教育,Prevention
prevention4,饭后不催吐,Prevention
prevention5,合理喂养 养成良好的饮食习惯,Prevention
prevention6,培养良好的饮食卫生习惯,Prevention
prevention7,保持轻松愉快的进食情绪,Prevention
prevention8,积极治疗引起厌食症的根源,Prevention
prevention9,养成良好的生活习惯,Prevention
prevention10,了解青春期的发育特点,Prevention
prevention11,在青春期进行恰当教育,Prevention
prevention12,增强体育锻炼,Prevention
hospital1,北京大学第六医院,Hospital
hospital2,上海交通大学医学院附属瑞金医院,Hospital
hospital3,郑州大学第一附属医院,Hospital
hospital4,广州医科大学附属脑科医院,Hospital
hospital5,天津医科大学总医院,Hospital
hospital6,上海长征医院,Hospital
hospital7,中南大学湘雅二医院,Hospital
hospital8,上海市精神卫生中心,Hospital
hospital9,哈尔滨医科大学附属第一医院,Hospital
hospital10,昆明医科大学第二附属医院,Hospital
hospital11,哈尔滨市第一专科医院,Hospital
hospital12,安徽医科大学第一附属医院,Hospital
hospital13,南昌大学第二附属医院,Hospital
hospital14,哈尔滨医科大学附属第四医院,Hospital
hospital15,河北北方学院附属第一医院,Hospital
hospital16,杭州市第七人民医院,Hospital
hospital17,浙江省立同德医院,Hospital
hospital18,首都医科大学附属北京安定医院,Hospital
hospital19,杭州市第一人民医院,Hospital
hospital20,潍坊市人民医院,Hospital
hospital21,常州市第一人民医院,Hospital
hospital22,宝鸡市人民医院,Hospital
